אייקון,יום,תאריך,שם המקום,קטגוריות לסינון,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש
🏙️,03 (חמישי),15/10/2026,SHIBUYA SKY,אטרקציה | תצפית,⭐⭐⭐⭐⭐ חובה,"2 Chome-24-12 Shibuya, Shibuya City, Tokyo",🌃 לילה / ☀️ שמש,"SHIBUYA SKY (תזמון לשקיעה):

• התצפית הפתוחה הפופולרית בטוקיו בקומה ה-47!

💡 Plan B גשם/ערפל:
אם הגג הפתוח נסגר עקב גשם, התצפית מתבצעת מהקומה המקורה בבטחה.

💡 המלצת רכישה: מומלץ מאוד דרך Klook או KKday כי המחיר זהה לקופה אך מקבלים קאשבק ונקודות. התאריך והשעה קריטיים!

[רמת עומס: 🟡 בינוני]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: תצפית / אטרקציה",כניסה מקומת הקרקע של מגדל Shibuya Scramble Square קומה 14.,טוקיו - שיבויה,16:15 - 18:15 (שקיעה),שעתיים,,"60 ₪ (~3,200 ¥)","🚨 חובה להזמין מראש: מכירת הכרטיסים לשעה הרצויה נפתחת בדיוק 28 יום מראש בחצות שעון יפן. זה יוצא בדיוק בתאריך 16/09/2026 בשעה 18:00 שעון ישראל! תשים שעון מעורר לקנות באותו הרגע כדי לתפוס את השקיעה.
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 16/09/2026 + תזכורת הכנה יום לפני (15/09/2026) — לוודא אמצעי תשלום, פרטים וזמינות.","רשמי: https://www.shibuya-scramble-square.com/sky/
Klook: https://www.klook.com/search/result/?query=SHIBUYA%20SKY
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=SHIBUYA%20SKY&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/SHIBUYA%20SKY
GetYourGuide: https://www.getyourguide.com/s?q=SHIBUYA+SKY
Pelago: https://www.pelago.co/en-US/search/?keyword=SHIBUYA%20SKY",≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Shibuya+Crossing&destination=SHIBUYA+SKY,,⚠️ שירותים,✓ שובר QR זמין | ✓ סוודר למרפסת | ✓ Power Bank וכבל

🍽️,03 (חמישי),15/10/2026,MEGA Don Quijote Shibuya,קניות | כלבו / סופרמרקט,⭐⭐⭐⭐⭐ חובה,"28-6 Udagawacho, Shibuya City, Tokyo 150-0042",הכל (מקורה),"קניות ובילוי לילי בשיבויה:

• סניף הדגל העצום של דון קיחוטה (פתוח 24/7). מקום מושלם לגאדג'טים ומזכרות.

[רמת עומס: 🟢 קל]

💡 Plan B: אם סגור — קומביני חלופי סמוך (רובם פתוחים 24/7).

🍽️ פתרון תזונה: מיד לאחר מכן ניסע לאכול במסעדת חנה'ס פלייס!

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / סופרמרקט / אוכל",הליכה קצרה ממתחם התצפית אל לב מדרחוב הקניות של שיבויה.,טוקיו - שיבויה,18:30 - 19:45,שעה ורבע,,"כניסה: 0₪ | קניות (אופציונלי): 277 ₪ (~15,000 ¥)",🚶‍♂️ הצג ברקוד הנחה מטלפון + דרכון פיזי בקופה.,https://www.donki.com/en/,≈ 10 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=SHIBUYA+SKY&destination=MEGA+Don+Quijote+Shibuya,,⚠️ שירותים,✓ דרכון פיזי | ✓ שקית קניות | ✓ Power Bank וכבל

🍽️,03 (חמישי),15/10/2026,Chana's Place (Kosher Restaurant),מסעדה | אוכל כשר,⭐⭐⭐⭐⭐ חובה,"1-5-23 Takanawa, Minato City, Tokyo 108-0074",הכל (מקורה),"מסעדת חנה'ס פלייס (בית חב'ד טוקיו):

• ארוחת ערב יפנית (אוכל אותנטי) וכשרה (סושי, ראמן, קאטסו, מנות בקר). סוגר לך את הפינה של לבשל היום בעצמך!

[רמת עומס: 🟢 קל]

💡 Plan B: אם המקום סגור/יקר/עמוס — קניית מצרכים כשרים בסופר/קומביני והכנה עצמאית בדירה.

🍽️ פתרון תזונה יומי: ארוחת ערב במסעדה במקום בישול בדירה.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מסעדה / אוכל",מתחנת Shibuya קח קו JR Yamanote ישירות לתחנת Takanawa Gateway והליכה רגלית קצרה.,טוקיו - מינאטו,20:15 - 21:30,שעה ורבע,,"כ-150 ₪ (~8,000 ¥)","🚨 חובה להזמין שולחן מראש באתר האינטרנט! מומלץ להזמין כשבועיים מראש (החל מ-01/10/2026). ⏰ התראה: קבע תזכורת להזמנה ב-01/10/2026 + תזכורת הכנה יום לפני (30/09/2026) — לוודא אמצעי תשלום, פרטים וזמינות.",https://chabad.jp/,≈ 25 דקות נסיעה ברכבת משיבויה,https://www.google.com/maps/dir/?api=1&origin=MEGA+Don+Quijote+Shibuya&destination=Chana's+Place+Tokyo,,⚠️ שירותים,✓ הזמנת שולחן מראש | ✓ Power Bank וכבל

🏠,03 (חמישי),15/10/2026,🏠 Casa Central (Tokyo),לינה | דירה,⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo",הכל (מקורה),"חזרה בטוחה לדירה, מנוחה ולינה.

• בזכות המסעדה, חסכת לעצמך את הבישולים. פשוט להתקלח ולישון לקראת מחר.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🍽️ פתרון תזונה: בטן מלאה מחנה'ס פלייס.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה","מתחנת Takanawa Gateway קח קו Keihin-Tohoku לתחנת Omori.",טוקיו - אומורי,22:00 - 08:30,לינה,,0 ₪,✅ כבר הוזמן.,https://www.booking.com/,≈ 15 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Chana's+Place+Tokyo&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ מנוחה | ✓ Power Bank וכבל





✨,04 (שישי),16/10/2026,teamLab Borderless,אטרקציה | אמנות דיגיטלית,⭐⭐⭐⭐⭐ חובה,"1 Chome-2-4 Azabudai, Minato City, Tokyo 106-0041, Japan",הכל (מקורה),"מוזיאון האמנות הדיגיטלית teamLab Borderless (Azabudai Hills):

• מבוך ענק, מהפנט ועתידני של אורות דינמיים ללא מסלול מוגדר. עוגן הבוקר שלך!

💡 המלצת רכישה: המכירה פתוחה! שריין עכשיו את סלוט הכניסה של 09:00–09:30 באתר הרשמי כדי להיכנס לפני שמתחיל העומס.

לא ניתן לבטל או לשנות את סוג וכמות הכרטיסים לאחר הרכישה, אך ניתן לשנות את תאריך ושעת הביקור עד שלוש פעמים ועד שעתיים לפני מועד הכניסה.

כרטיס אופציונלי לחדר התה (EN TEA HOUSE) בעלות 600 ין (ניתן לרכוש מראש או במקום), שבו שותים תה בזמן שפרחים דיגיטליים פורחים וגדלים בצורה קסומה בתוך הכוס כל עוד יש בה נוזל.

[בוקר רגוע אבל מוקדם!: קום מוקדם יותר, התפלל, אכול, וצא מהדירה ב-08:30 (כדי להספיק להגיע בנוחות למתחם Azabudai Hills לקראת הסלוט של 09:00)].

🍽️ פתרון תזונה יומי: צהריים בדייוידס דלי, ערב בחב'ד שבת.

🥤 שילוב חלבון: שייק חלבון בבוקר בדירה. 🍫 חטיף בהמתנה לכניסה פה.

[רמת עומס: 🔴 גבוה]

💡 Plan B: התערוכה מקורה ומוגנת; אם עמוס — כניסה בשעת השובר המדויקת בלבד.","קו JR Keihin-Tohoku ל-Shimbashi, והחלפה לקו Hibiya לתחנת Kamiyacho.

[יציאה מומלצת: תחנת Kamiyacho יציאה 5 - מחברת ישירות למתחם]",טוקיו - המפרץ/מינאטו,09:00 - 12:00,כ-3 שעות בפנים,,"כ-117 ₪ (~6,200 ¥)","🚨 המכירה פתוחה! הזמן עכשיו סלוט של 09:00–09:30 באתר הרשמי.
⏰ לאחר ההזמנה, לחץ על כפתור 'סמן כטופל' באפליקציה.","רשמי: https://borderless.teamlab.art/
Klook: https://www.klook.com/search/result/?query=teamLab%20Borderless%20Tokyo
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=teamLab%20Borderless%20Tokyo&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/teamLab%20Borderless%20Tokyo
GetYourGuide: https://www.getyourguide.com/s?q=teamLab+Borderless+Tokyo
Pelago: https://www.pelago.co/en-US/search/?keyword=teamLab%20Borderless+Tokyo",≈ 40 דקות רכבת,https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=teamLab+Borderless+Tokyo,,⚠️ שירותים,✓ סוללה ניידת טעונה ב-100% | ✓ Power Bank וכבל

🗼,04 (שישי),16/10/2026,Tokyo Tower Main Deck,אטרקציה | תצפית עירונית,⭐⭐⭐⭐ מומלץ,"4 Chome-2-8 Shibakoen, Minato City, Tokyo 105-0011, Japan",הכל (מקורה),"תצפית מגדל טוקיו (Main Deck):

• מגדל הפלדה האדום והאיקוני של טוקיו בגובה 150 מטר. תצפית פנורמית מדהימה על כל העיר ועל אזור מפרץ טוקיו.
• משמש כחוצץ מושלם וגאוגרפי מדויק: נמצא ממש מטרים ספורים מיציאת ה-*teamLab Borderless*, חוסך נסיעות ומוביל אותך בצורה חלקה לכיוון דרום למסעדת דוד!

💡 Plan B לחץ זמן:
אם יש לחץ זמן לקראת שבת, ניתן להסתפק בבניין ה-FootTown התחתון או לקצר את השהות למרפסת בלבד.

💡 המלצת רכישה: מומלץ לבדוק שילוב כרטיסים באפליקציות (כמו Klook או Trazy) יחד עם אטרקציות סמוכות.

[רמת עומס: 🟡 בינוני]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: תצפית / אטרקציה",הליכה רגלית ישירה של כ-10-15 דקות ממתחם Azabudai Hills אל מגדל טוקיו.,טוקיו - המפרץ/מינאטו,12:45 - 14:45,שעתיים,,"כ-65 ₪ (~3,500 ¥)","🚨 מומלץ להזמין מראש: זמין חודשים מראש, אפשר להזמין גם כחודש לפני.
⏰ התראה: קבע/י תזכורת להזמנה מראש — לוודא אמצעי תשלום, פרטים וזמינות.","רשמי: https://www.tokyotower.co.jp/en/
Klook: https://www.klook.com/search/result/?query=Tokyo%20Tower%20Main%20Deck
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Tokyo%20Tower&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Tokyo%20Tower
GetYourGuide: https://www.getyourguide.com/s?q=Tokyo+Tower
Pelago: https://www.pelago.co/en-US/search/?keyword=Tokyo%20Tower",≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=teamLab+Borderless+Tokyo&destination=Tokyo+Tower,,⚠️ שירותים,✓ מצלמה טעונה | ✓ Power Bank וכבל

🍽️,04 (שישי),16/10/2026,David's Deli (Jewish Deli),מסעדה | אוכל כשר,⭐⭐⭐⭐ מומלץ,"5-13-13 Mita, Minato City, Tokyo",הכל (מקורה),"מעדניית דוד (מסעדה המגישה אוכל יהודי כשר):

• משלים לך את הרצף הגיאוגרפי! ארוחת צהריים מאוחרת וקניית נשנושים ומטעמים לשבת על הציר הדרומי הביתה.

[רמת עומס: 🟢 קל]

💡 Plan B: אם המקום סגור/יקר/עמוס — קניית מצרכים כשרים בסופר/קומביני והכנה עצמאית בדירה.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מסעדה / אוכל","המשך הליכה נעימה או נסיעה קצרה ממגדל טוקיו דרומה אל אזור מיטה (Mita).",טוקיו - מינאטו,15:00 - 15:30,30 דקות,,"כ-92 ₪ (~5,000 ¥)",🚶‍♂️ מומלץ לוודא טלפונית שפתוחים.,https://davidsdeli.co.jp/en/,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=RED+TOKYO+TOWER&destination=David's+Deli+Tokyo,,⚠️ שירותים,✓ רכישת מטעמים לשבת | ✓ Power Bank וכבל

🏠,04 (שישי),16/10/2026,🏠 Casa Central (Tokyo),לינה | דירה,⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"התארגנות מוקדמת לשבת:

• חזרה לדירה לביצוע הכנות טכנולוגיות: נטרול חיישני תאורה, הדבקת מתג מקרר וניתוק שירותים חכמים (Washlet).

[רמת עומס: 🟢 קל]

💡 חלון זמן בטוח: הגעה ב-15:45 נותנת לך בדיוק שעה עגולה של התארגנות ממוקדת עד כניסת שבת (16:45).

🍽️ פתרון תזונה: ארוחת ערב/בוקר בהכנה עצמאית בדירה או שאריות מהיום.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה",מתחנת Mita קח קו Mita Line לתחנת Tamachi והחלף לקו Keihin-Tohoku לתחנת Omori.,טוקיו - אומורי,15:45 - 16:45,התארגנות לשבת,,0 ₪,✅ כבר הוזמן. כניסת שבת באזור 16:45!,https://www.booking.com/,≈ 30 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=David's+Deli+Tokyo&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ דבק נייר/מסקינטייפ לכפתורים | ✓ הכנת חגורת שבת למפתח | ✓ מפתח דירה פיזי

🍽️,04 (שישי),16/10/2026,Chabad Tokyo Japan,דת וקהילה | תפילה וארוחות,⭐⭐⭐⭐⭐ חובה,"1-25-18 Sanno, Ota-ku, Tokyo 143-0023, Japan",הכל,"תפילות וקבלת שבת בבית חב""ד טוקיו:

• תפילת מנחה: 10 דקות לאחר הדלקת נרות.
• קבלת שבת וסעודה: 40 דקות לאחר הדלקת נרות.
• מינגלינג ומפגש חברתי עם מטיילים מכל העולם באווירה קהילתית.

🍽️ פתרון תזונה יומי: סעודת ליל שבת, מגישים אוכל בחב'ד.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — פעילות במסגרת קהילת חב""ד לפי לוח הזמנים הקבוע.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מסעדה / אוכל / דת","הליכה רגלית בלבד!

🚨 איסור נסיעה וטלטול חפצים מחוץ לעירוב — השתמש בחגורת שבת למפתח.",טוקיו - יהדות/כשר (אוֹמוֹרִי),18:00 - 20:30,זמני שבת,,120.60 ₪,✅ כבר הוזמן ושולם מראש ($39.43),https://chabad.jp/,≈ 15 דקות הליכה,https://maps.app.goo.gl/BdZAFYU7pePqAgNH7,,⚠️ שירותים,✓ ביגוד מכבד | ✓ חגורת שבת למפתח | ✓ מפתח דירה פיזי

🏠,04 (שישי),16/10/2026,🏠 Casa Central (Tokyo),לינה | דירה,⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"חזרה רגלית לדירה:

• מנוחה ושינה בנחת.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🍽️ פתרון תזונה: ארוחת ערב/בוקר בהכנה עצמאית בדירה או שאריות מהיום.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לינה",הליכה רגלית נוחה מבית חב'ד בחזרה לדירה.,טוקיו - אומורי,20:45 - 08:30,לינה,,0 ₪,✅ כבר הוזמן ברישום הרגיל.,https://www.booking.com/,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Chabad+Tokyo+Japan&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ חגורת שבת למפתח




🍽️,05 (שבת),17/10/2026,Chabad Lubavitch / Rest Day,דת וקהילה | שבת,⭐⭐⭐⭐⭐ חובה,"1-25-18 Sanno, Ota-ku, Tokyo 143-0023, Japan",הכל,"יום מנוחה מוחלט (שבת קודש) בבית כנסת חב""ד:

• 10:00 - תפילת שחרית.
• 12:00 - קידוש חם וצ'ולנט.

🍽️ פתרון תזונה יומי: כל סעודות השבת והאוכל בחב'ד.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — פעילות במסגרת קהילת חב""ד לפי לוח הזמנים הקבוע.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: מסעדה / אוכל / דת",הליכה רגלית קצרה והולמת הלוך וחזור מהדירה.,טוקיו - יהדות/כשר (אוֹמוֹרִי),10:00 - 14:00,כל היום,,0 ₪,✅ סעודה הכלולה בהזמנה מראש.,https://chabad.jp/,≈ 15 דקות הליכה,https://maps.app.goo.gl/BdZAFYU7pePqAgNH7,,⚠️ שירותים,✓ חגורת שבת מותאמת למפתח
